,time,distance,heuristic,cityDep_id,cityArr_id,ScoreCity1,ScoreCity2
0,26568,779219,663230.5167525731,1,2,5.0,3.5888314501243137
1,16399,467387,395490.190128091,1,3,5.0,3.813611597833151
2,23387,678687,590352.1532797706,1,4,5.0,3.170214517025436
3,31416,932202,688047.8722278225,1,5,5.0,3.6291112692757834
4,13991,386481,342385.7242935129,1,6,5.0,3.62145350274904
5,17705,490429,398933.6258062632,1,7,5.0,3.6603811979634653
6,25639,750531,598271.9680393483,1,8,5.0,2.7307355374515088
7,20417,587010,500242.1663228858,1,9,5.0,3.7247396577488168
8,12345,350935,308942.087181775,1,10,5.0,2.7568891421606687
9,7892,192760,174907.37702276715,1,11,5.0,2.16514015540487
10,6763,147509,131142.2382008447,1,12,5.0,2.652696011226934
11,8822,225389,203611.97731398573,1,13,5.0,3.786803929767641
12,18450,524138,412940.5425619602,1,14,5.0,0.6859624796652684
13,28712,842000,697814.5136841822,1,15,5.0,0.6859624796652684
14,10924,299920,264766.1155013085,1,16,5.0,0.6859624796652684
15,20855,591442,504001.59248816775,1,17,5.0,2.305182455677449
16,19702,580090,485253.8809407567,1,18,5.0,2.5480767501788013
17,11365,314857,263750.10650273674,1,19,5.0,2.612979704282485
18,8465,211397,184746.40447561454,1,20,5.0,0.6859624796652684
19,14678,423991,347864.29673958465,1,21,5.0,0.6859624796652684
20,6803,151214,115055.4603541659,1,22,5.0,0.6859624796652684
21,13939,392008,345597.4434169301,1,23,5.0,1.761045765708056
22,25759,760095,639806.0746145324,1,24,5.0,2.732463177885047
23,24528,720184,581282.5472179088,1,25,5.0,2.1896282432873537
24,9320,241939,205654.0614445825,1,26,5.0,2.4667942238289347
25,27215,772108,612323.1672695118,1,27,5.0,0.6859624796652684
26,12274,331581,281495.2501200373,1,28,5.0,0.6859624796652684
27,16538,473800,395067.3679217658,1,29,5.0,3.1299938087566668
28,14689,415187,328838.7072599511,1,30,5.0,0.6859624796652684
29,8871,231377,199006.75489911478,1,31,5.0,2.4433842998034945
30,5840,132341,110497.68748189376,1,32,5.0,2.2002933367819395
31,19292,478371,390428.9032977949,1,33,5.0,2.526089764499331
32,5698,131321,110735.73651077515,1,34,5.0,2.5857181425629023
33,28791,856326,689643.6248089087,1,35,5.0,0.6859624796652684
34,1386,8336,7143.661678017625,1,36,5.0,4.199400377447803
35,14911,388470,284366.79523015325,1,37,5.0,2.634666733449581
36,9072,234785,212689.99786009878,1,38,5.0,3.4351625032292685
37,2220,18411,11100.930595327683,1,39,5.0,3.008704474845671
38,9218,236779,214136.7795412694,1,40,5.0,1.746496551575302
39,4633,84740,71725.79766699282,1,41,5.0,0.6859624796652684
40,31654,928497,682482.4055936214,1,42,5.0,0.6859624796652684
41,2539,23386,16427.180248910616,1,43,5.0,3.4719603739610263
42,23914,692962,579477.2029311236,1,44,5.0,2.2790551957472065
43,12658,339775,294995.60540828155,1,45,5.0,1.9287732691996229
44,1746,14055,10441.922105917412,1,46,5.0,3.5624600389719134
45,26875,795806,653692.3462281276,1,47,5.0,0.6859624796652684
46,16978,472546,398562.8926499881,1,48,5.0,2.338810058436918
47,10764,295042,234667.82865346764,1,49,5.0,0.6859624796652684
48,1871,11004,8257.147524579766,1,50,5.0,3.4800256010556816
49,9684,250478,198581.96836185962,1,51,5.0,0.6859624796652684
50,1846,11609,9936.74017304282,1,52,5.0,3.196870692341221
51,30884,916473,693657.7389513705,1,53,5.0,2.5700944280694675
52,11901,305005,243059.23426547504,1,54,5.0,2.191389229854672
53,18523,507461,387781.43455250416,1,55,5.0,0.0
54,15486,439190,380384.6915142281,1,56,5.0,1.825391560637008
55,30911,908262,692834.140477245,1,57,5.0,2.8179292146988466
56,32242,817566,616426.645439191,1,58,5.0,1.011248194109564
57,20224,565175,484699.707287474,1,59,5.0,0.6859624796652684
58,19833,568845,479334.6109011079,1,60,5.0,0.6859624796652684
59,8951,231581,210410.13840819578,1,61,5.0,2.470624704542101
60,17534,462171,396899.0463148922,1,62,5.0,1.7337297062255976
61,2409,23137,11312.120156771565,1,63,5.0,2.4627102052471157
62,7865,176317,143477.70403869293,1,64,5.0,1.715843370063408
63,18031,504420,439836.1157985549,1,65,5.0,2.0656258995375207
64,7135,170077,129329.81725442824,1,66,5.0,1.6905640979598637
65,28628,839990,698007.7266723489,1,67,5.0,1.9952901020790401
66,2281,23795,13215.221520123432,1,68,5.0,2.6064260915107713
67,1147,5812,5221.6678094489225,1,69,5.0,4.480114177393132
68,15092,412080,353169.9843161032,1,70,5.0,0.6859624796652684
69,9762,236319,199859.69498488246,1,71,5.0,0.6859624796652684
70,19532,574227,457096.30077994673,1,72,5.0,1.6780405864523662
71,4907,91901,65654.7320974125,1,73,5.0,1.9921281588049677
72,20614,596302,505281.8425577254,1,74,5.0,0.6859624796652684
73,16422,477147,403265.5364742609,1,75,5.0,2.065030299835525
74,58704,1126167,920596.98441182,1,76,5.0,0.6859624796652684
75,16438,462318,399571.66384525737,1,77,5.0,1.786283316841683
76,21700,630517,545129.873285216,1,78,5.0,0.6859624796652684
77,20983,608206,486316.0955341574,1,79,5.0,2.0173992826133795
78,29236,858914,703569.6802833643,1,80,5.0,0.6859624796652684
79,1713,10103,7405.111502646922,1,81,5.0,4.109941411108329
80,11193,316811,276201.70886203024,2,3,3.5888314501243137,3.813611597833151
81,14201,408022,322270.15420932684,2,4,3.5888314501243137,3.170214517025436
82,7458,201276,155875.4601563939,2,5,3.5888314501243137,3.6291112692757834
83,32275,988891,697158.1698616178,2,6,3.5888314501243137,3.62145350274904
84,27447,807279,615547.0405005055,2,7,3.5888314501243137,3.6603811979634653
85,6549,170388,127035.67730561527,2,8,3.5888314501243137,2.7307355374515088
86,21504,646996,506708.9079355639,2,9,3.5888314501243137,3.7247396577488168
87,34368,1049326,765490.2307952524,2,10,3.5888314501243137,2.7568891421606687
88,32248,966840,799418.3736340792,2,11,3.5888314501243137,2.16514015540487
89,26129,799196,670614.5489717579,2,12,3.5888314501243137,2.652696011226934
90,32667,1003202,835249.9746334151,2,13,3.5888314501243137,3.786803929767641
91,11741,334582,250454.69591784285,2,14,3.5888314501243137,0.6859624796652684
92,3051,63931,47844.19993208312,2,15,3.5888314501243137,0.6859624796652684
93,30245,910651,656559.8328584679,2,16,3.5888314501243137,0.6859624796652684
94,42636,1286854,952479.5519073778,2,17,3.5888314501243137,2.305182455677449
95,10712,311612,209325.3066818907,2,18,3.5888314501243137,2.5480767501788013
96,17330,505066,448137.67746391374,2,19,3.5888314501243137,2.612979704282485
97,30024,894045,661091.0907129196,2,20,3.5888314501243137,0.6859624796652684
98,16582,476318,331939.27744948183,2,21,3.5888314501243137,0.6859624796652684
99,31610,924282,771840.9642340615,2,22,3.5888314501243137,0.6859624796652684
100,23341,695225,434487.9654172274,2,23,3.5888314501243137,1.761045765708056
101,1975,32909,26113.976881916988,2,24,3.5888314501243137,2.732463177885047
102,5232,126700,103427.7251250216,2,25,3.5888314501243137,2.1896282432873537
103,26730,800167,585273.073474274,2,26,3.5888314501243137,2.4667942238289347
104,12612,340886,257848.37442173835,2,27,3.5888314501243137,0.6859624796652684
105,25547,770195,652033.3849609161,2,28,3.5888314501243137,0.6859624796652684
106,11325,321461,277630.2379510465,2,29,3.5888314501243137,3.1299938087566668
107,19366,569942,442497.5635636591,2,30,3.5888314501243137,0.6859624796652684
108,33227,1005457,789994.014680477,2,31,3.5888314501243137,2.4433842998034945
109,25399,776063,581575.9662540683,2,32,3.5888314501243137,2.2002933367819395
110,23555,693432,517764.3949423902,2,33,3.5888314501243137,2.526089764499331
111,30054,905401,758702.7590957087,2,34,3.5888314501243137,2.5857181425629023
112,11469,327073,216101.4237671572,2,35,3.5888314501243137,0.6859624796652684
